time	wallclock_time	start_span	g_sum	f_sum	frac_compute	arg_size_mbs	res_size_mbs	num_workers
15-10-2023 06:40:42	652.001365	0.098539	13331.831377	2540.201788	0.245895	5.728912	5.728912	99
15-10-2023 06:51:33	651.392196	0.053211	49009.705888	2537.514181	0.799333	5.728912	5.728912	99
15-10-2023 06:57:20	346.580278	0.092965	48595.846207	15028.022936	1.854304	5.728912	5.728912	99
15-10-2023 07:03:02	341.718514	0.080469	18439.408090	15075.444355	0.990680	5.728912	5.728912	99
15-10-2023 07:13:56	653.881396	0.070498	12755.097633	2541.241352	0.236294	5.728912	5.728912	99
15-10-2023 07:19:44	348.178487	0.054161	49579.851914	15003.508076	1.873629	5.728912	5.728912	99
15-10-2023 07:25:25	341.283024	0.063684	16536.420090	15069.545652	0.935447	5.728912	5.728912	99
15-10-2023 07:36:20	654.406526	0.081080	13265.389938	2543.176112	0.244011	5.728912	5.728912	99
15-10-2023 07:42:21	361.530796	0.062512	54810.310616	15145.118852	1.954524	5.728912	5.728912	99
15-10-2023 07:47:53	331.264331	0.075138	17468.128532	15029.749189	0.990935	5.728912	5.728912	99
15-10-2023 08:00:02	729.265640	0.071486	13450.150944	2535.508966	0.221416	5.728912	5.728912	99
15-10-2023 08:06:04	361.772809	0.051648	48884.772311	15127.311754	1.787273	5.728912	5.728912	99
15-10-2023 08:11:34	329.962879	0.031050	17053.963443	14813.078382	0.975532	5.728912	5.728912	99
15-10-2023 08:22:26	652.012010	0.086508	13336.625213	2538.708361	0.245942	5.728912	5.728912	99
15-10-2023 08:28:20	354.409873	0.058812	51616.691929	15069.448582	1.900617	5.728912	5.728912	99
15-10-2023 08:33:51	330.330146	0.074289	16743.345308	14812.219669	0.964923	5.728912	5.728912	99
15-10-2023 08:44:43	652.673315	0.061724	12874.959921	2542.096678	0.238600	5.728912	5.728912	99
15-10-2023 08:55:34	650.784233	0.017664	51120.599570	2536.155156	0.832822	5.728912	5.728912	99
15-10-2023 09:01:28	353.567989	0.055976	51198.334682	15047.687939	1.892569	5.728912	5.728912	99
15-10-2023 09:08:37	428.858594	0.019769	17667.915138	15899.417530	0.790619	5.728912	5.728912	99
15-10-2023 09:19:27	650.587160	0.073618	13696.003095	2539.804788	0.252077	5.728912	5.728912	99
15-10-2023 09:25:28	360.978402	0.057443	52477.323641	15130.048984	1.891811	5.728912	5.728912	99
15-10-2023 09:32:36	428.072366	0.095497	16460.039741	15802.291735	0.761278	5.728912	5.728912	99
15-10-2023 09:42:44	607.452102	0.073158	14196.513665	2394.653449	0.275886	5.728912	5.728912	99
15-10-2023 09:47:56	311.566953	0.052629	50116.216372	14513.000504	2.095281	5.728912	5.728912	99
15-10-2023 09:55:07	431.526181	0.067967	16349.328386	15635.329104	0.748685	5.728912	5.728912	99
